t_s,rss_mb,uss_mb,sys_avail_mb,cpu_sys_pct,cpu_proc_pct,vram_alloc_mb,vram_reserved_mb,vram_used_nvml_mb,vram_free_nvml_mb,gpu_util_pct,gpu_temp_c,gpu_power_w
0.02,731.3,717.2,25777.1,10.3,141.7,0.0,0.0,415.5,8170.2,17.0,39.0,11.0
0.35,888.5,874.6,25602.4,33.7,593.6,0.0,0.0,415.5,8170.2,17.0,39.0,11.0
0.67,915.3,902.0,25571.6,9.3,159.8,0.0,0.0,415.5,8170.2,17.0,38.0,10.8
0.98,1250.9,1237.9,25228.9,6.6,101.9,0.0,0.0,415.5,8170.2,0.0,38.0,10.9
1.30,1594.7,1581.6,24881.8,6.7,104.8,0.0,0.0,415.5,8170.2,0.0,38.0,10.9
1.62,1938.9,1925.5,24534.8,7.1,104.3,0.0,0.0,415.5,8170.2,0.0,38.0,10.9
1.96,2149.5,2134.3,24333.3,35.6,673.4,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
2.29,2150.5,2135.4,24311.1,66.2,1284.3,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
2.61,2153.7,2138.5,24308.9,65.5,1260.1,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
2.93,2212.7,2199.5,24242.2,52.3,1009.6,0.0,0.0,415.5,8170.2,0.0,39.0,10.8
3.25,2551.9,2538.5,23895.7,6.7,108.0,0.0,0.0,415.5,8170.2,0.0,39.0,10.8
3.57,2895.8,2881.4,23556.9,6.9,99.7,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
3.89,3236.5,3223.2,23201.6,6.6,106.4,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
4.21,3584.9,3571.2,22846.3,6.7,108.7,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
4.54,3931.6,3918.2,22525.7,7.3,105.4,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
4.86,4279.5,4266.3,22170.2,7.0,108.1,0.0,0.0,415.5,8170.2,0.0,39.0,10.9
5.18,4633.6,4620.6,21813.1,6.8,104.8,0.0,0.0,415.5,8170.2,0.0,39.0,10.8
5.51,4992.0,4979.0,21457.5,7.1,110.9,0.0,0.0,415.5,8170.2,0.0,39.0,10.8
5.83,5351.2,5338.1,21103.9,6.8,104.6,0.0,0.0,415.5,8170.2,0.0,39.0,10.8
6.37,6108.7,6162.3,20841.5,6.9,107.5,2288.4,2290.1,2809.5,5776.2,0.0,39.0,10.8
6.76,5637.4,5622.2,20840.1,6.8,106.6,4631.8,4643.1,5162.5,3423.2,0.0,40.0,11.5
7.09,5637.4,5622.2,20840.4,7.5,110.2,4631.8,4643.1,5162.5,3423.2,89.0,40.0,12.9
7.44,5100.4,5001.3,21535.7,8.0,105.3,724.7,4643.1,5162.5,3423.2,89.0,40.0,13.9
7.77,2883.8,2822.4,23711.5,7.4,105.6,3065.3,4643.1,5162.5,3423.2,89.0,40.0,13.9
8.13,1190.4,1175.2,25280.0,6.9,105.4,2905.0,4643.1,5175.1,3410.6,74.0,40.0,14.0
8.55,1211.3,1196.7,25274.4,6.9,100.5,2919.6,4643.1,5175.1,3410.6,74.0,40.0,14.1
8.86,1418.4,1403.1,25166.7,6.8,107.0,2939.2,4643.1,5194.0,3391.8,74.0,40.0,14.1
9.18,1520.4,1505.2,25066.9,7.2,106.8,4330.4,4643.1,5194.0,3391.8,78.0,46.0,19.5
9.50,1590.4,1575.1,25000.9,7.0,103.7,4662.3,4894.8,5445.6,3140.1,78.0,46.0,31.3
9.82,1746.3,1731.1,24865.1,6.9,106.5,5449.7,6450.8,7005.9,1579.8,78.0,46.0,31.3
10.14,1794.4,1779.2,24819.7,6.7,99.8,4030.8,6450.8,7005.9,1579.8,100.0,46.0,38.8
10.46,1799.9,1784.7,24810.7,7.1,106.4,4223.5,6452.9,7008.0,1577.7,100.0,47.0,39.2
10.78,1799.9,1784.7,24817.2,6.6,106.5,4412.0,6457.1,7012.2,1573.5,100.0,47.0,39.2
11.10,1799.9,1784.7,24817.2,6.6,106.2,4568.5,6459.2,7014.3,1571.4,100.0,47.0,39.9
11.42,1799.9,1784.7,24817.2,6.9,103.2,4778.3,6461.3,7016.4,1569.3,100.0,47.0,40.0
11.74,1799.9,1784.7,24817.9,6.8,106.2,4912.3,6463.4,7018.5,1567.2,100.0,47.0,40.0
12.06,1800.0,1784.7,24818.2,7.1,102.9,5112.5,6465.5,7020.6,1565.1,100.0,48.0,40.0
12.38,1800.0,1784.8,24817.7,7.4,109.3,5287.5,6465.5,7020.6,1565.1,100.0,48.0,40.0
12.70,1800.1,1784.8,24819.3,7.3,105.9,5408.1,6467.6,7022.7,1563.0,100.0,48.0,40.0
13.02,1800.1,1784.8,24818.6,7.2,103.1,5657.8,6469.7,7024.8,1560.9,100.0,48.0,40.0
13.34,1800.1,1784.8,24818.6,7.1,106.2,5745.8,6469.7,7024.8,1560.9,100.0,48.0,40.0
13.66,1800.1,1784.8,24819.3,6.4,106.3,5841.5,6704.6,7259.7,1326.1,100.0,48.0,39.8
13.98,1800.1,1784.8,24818.9,6.9,105.9,5988.7,6725.6,7280.7,1305.1,100.0,49.0,39.9
14.30,1800.1,1784.8,24819.3,7.2,106.3,6153.3,6874.5,7429.6,1156.2,100.0,49.0,39.9
14.62,1800.1,1784.8,24819.8,7.4,103.1,6295.9,7002.4,7557.5,1028.3,100.0,49.0,39.9
14.94,1800.1,1784.9,24819.4,6.7,106.1,6440.7,7233.1,7788.2,797.6,100.0,49.0,40.0
15.26,1800.1,1784.9,24819.4,6.9,105.8,6569.5,7382.0,7937.1,648.7,100.0,49.0,40.0
15.58,1800.2,1784.9,24817.6,8.8,103.3,6714.9,7488.9,8044.0,541.7,100.0,49.0,39.7
15.90,1800.2,1784.9,24816.6,6.6,106.0,6778.6,7805.6,8360.7,225.1,100.0,49.0,39.7
15.90,SAFETY_ABORT,vram_safety_threshold_breached,,,,,,,,,,
